"record_id","ed","np"
906120962,147.652893225716,240
906120970,104.76534006653,239
906120971,136.001281897208,321
906120982,136.001281897208,321
906121055,123.199743250291,198
906121062,160.657051282051,342
906121063,143.217893217893,299
906121098,NA,NA
906121099,NA,NA
906121135,132.137554672766,202
906121144,NA,NA
906121149,107.661452065784,229
906121150,107.661452065784,229
906121170,127.217272654306,209
906121171,151.577173127859,302
906121175,NA,NA
906121176,147.652893225716,240
906121180,143.749249429566,282
906121181,NA,NA
906121191,143.749249429566,282
906121192,NA,NA
906121193,159.753116107571,348
906121209,104.76534006653,239
906121210,141.246338429437,311
906121218,148.277383387478,197
906121224,163.09924643258,350
906121225,150.206503869441,293
906121226,160.657051282051,342
906121227,143.217893217893,299
906121239,NA,NA
906121251,119.757838184588,261
906121252,NA,NA
906121253,NA,NA
906121274,NA,NA
906121275,127.217272654306,209
906121311,159.753116107571,348
906121314,NA,NA
906121315,147.934447249269,211
906121353,NA,NA
906121354,NA,NA
906121368,143.217893217893,299
906121369,109.053002966883,165
906121370,NA,NA
906121371,NA,NA
906121372,126.73966229495,256
906121373,126.73966229495,256
906121380,104.76534006653,239
906121381,136.001281897208,321
906121382,NA,NA
906121383,NA,NA
906121414,152.50911129801,234
906121415,143.217893217893,299
906121416,143.217893217893,299
906121417,143.217893217893,299
906121418,109.053002966883,165
906121480,141.69877970456,236
906121481,131.184347686633,200
906121482,138.414683016751,211
906121504,159.020670278948,342
906121525,126.947882866643,182
906121526,126.947882866643,182
906121527,110.469777136444,170
906121528,121.661244326626,192
906121529,121.661244326626,192
906121534,135.694277711084,219
906121535,159.020670278948,342
906121536,138.414683016751,211
906121543,135.694277711084,219
906121544,131.184347686633,200
906121545,159.020670278948,342
906121573,144.7357870259,282
906121589,130.523780854907,231
906121590,130.523780854907,231
906121608,NA,NA
906121609,136.332733453309,208
906121610,163.09924643258,350
906121617,143.217893217893,299
906121618,143.217893217893,299
906121619,109.053002966883,165
906121620,NA,NA
906121621,136.332733453309,208
906121624,123.199743250291,198
906121625,NA,NA
906121651,157.389635316699,353
906121661,118.288624243153,253
906121662,118.288624243153,253
906121667,134.866177119698,301
906121676,NA,NA
906121677,NA,NA
906121678,NA,NA
906121681,NA,NA
906121682,147.652893225716,240
906121683,147.652893225716,240
906121684,NA,NA
906121685,NA,NA
906121686,NA,NA
906121693,NA,NA
906121708,NA,NA
906121709,NA,NA
906121721,NA,NA
906121722,NA,NA
906121723,123.199743250291,198
906121726,NA,NA
906121729,115.6961822265,245
906121730,115.6961822265,245
906121731,115.6961822265,245
906121732,115.6961822265,245
906121733,118.288624243153,253
906121737,NA,NA
906121738,NA,NA
906121739,NA,NA
906121740,NA,NA
906121745,NA,NA
906121746,147.652893225716,240
906121758,NA,NA
906121759,NA,NA
906121760,120.963855421687,270
906121761,NA,NA
906121762,139.052661131833,277
906121777,126.947882866643,182
906121778,110.469777136444,170
906121779,110.469777136444,170
906121780,160.415163901579,352
906121782,160.415163901579,352
906121783,NA,NA
906121784,NA,NA
906121785,141.946349091784,287
906121788,138.414683016751,211
906121789,138.414683016751,211
906121790,138.414683016751,211
906121799,NA,NA
906121804,126.947882866643,182
906121805,110.469777136444,170
906121834,NA,NA
906121835,NA,NA
906121836,157.389635316699,353
906121840,150.02406159769,244
906121841,150.02406159769,244
906121845,NA,NA
906121846,NA,NA
906121849,NA,NA
906121850,NA,NA
906121858,NA,NA
906121859,NA,NA
906121860,123.199743250291,198
906121861,123.199743250291,198
906121862,123.199743250291,198
906121864,130.523780854907,231
906121865,145.763254845427,326
906121866,NA,NA
906121880,NA,NA
906121881,NA,NA
906121882,NA,NA
906121883,139.052661131833,277
906121901,NA,NA
906121902,NA,NA
906121909,NA,NA
906121910,138.244602010976,313
906121911,138.244602010976,313
906121912,138.244602010976,313
906121914,NA,NA
906121915,NA,NA
906121916,NA,NA
906121922,151.322115384615,287
906121923,151.322115384615,287
906121924,151.322115384615,287
906121935,150.02406159769,244
906121936,150.02406159769,244
906121937,150.02406159769,244
906121962,147.652893225716,240
906121973,NA,NA
906122000,159.67127680898,345
906122005,157.704799711296,330
906122006,138.244602010976,313
906122136,136.332733453309,208
906122137,NA,NA
906122138,NA,NA
906122141,126.73966229495,256
906122142,152.50911129801,234
906122152,152.50911129801,234
906122153,152.50911129801,234
906122175,126.947882866643,182
906122176,110.469777136444,170
906122177,110.469777136444,170
906122178,160.415163901579,352
906122187,141.946349091784,287
906122188,144.081371135672,191
906122189,144.081371135672,191
906122244,NA,NA
906122250,NA,NA
906122251,NA,NA
906122258,NA,NA
906122259,NA,NA
906122260,NA,NA
906122308,NA,NA
906122309,NA,NA
906122310,NA,NA
906122321,NA,NA
906122348,NA,NA
906122377,NA,NA
906122389,160.415163901579,352
906122390,144.081371135672,191
906122391,144.081371135672,191
906122461,139.377157075207,208
906122511,139.052661131833,277
906122522,126.384207992297,180
906122523,104.76534006653,239
906122557,147.934447249269,211
906122569,143.636655432515,280
906122570,159.753116107571,348
906122571,119.757838184588,261
906122578,138.244602010976,313
906122579,NA,NA
906122580,132.651423987164,202
906122581,134.866177119698,301
906122589,130.410342889264,257
906122590,132.137554672766,202
906122602,141.849089888541,220
906122606,163.09924643258,350
906122607,139.924625130302,268
906122616,136.332733453309,208
906122617,134.401477733606,202
906122637,118.288624243153,253
906122638,146.904217326753,255
906122646,135.322664741507,290
906122647,115.6961822265,245
906122652,NA,NA
906122653,NA,NA
906122654,147.652893225716,240
906122705,107.661452065784,229
906122734,135.207657495294,192
906122735,157.389635316699,353
906122736,NA,NA
906122737,NA,NA
906122764,123.199743250291,198
906122765,NA,NA
906122788,NA,NA
906122789,151.322115384615,287
906122790,157.704799711296,330
906122791,NA,NA
906122792,NA,NA
906122793,NA,NA
906122804,122.663457681508,173
906122805,134.440300004011,303
906122806,155.600994306792,344
906122815,141.849089888541,220
906122816,NA,NA
906122832,141.246338429437,311
906122845,160.657051282051,342
906122846,160.657051282051,342
906122847,152.50911129801,234
906122856,143.217893217893,299
906122857,NA,NA
906122858,NA,NA
906122869,159.753116107571,348
906122870,159.753116107571,348
906122871,159.753116107571,348
906122872,159.753116107571,348
906122873,NA,NA
906122874,147.934447249269,211
906122882,130.523780854907,231
906122890,NA,NA
906122891,139.052661131833,277
906123020,NA,NA
906123021,157.704799711296,330
906123022,134.866177119698,301
906123049,135.322664741507,290
906123136,127.217272654306,209
906123143,127.217272654306,209
906123144,NA,NA
906123145,NA,NA
906123174,NA,NA
906123192,147.652893225716,240
906123193,147.652893225716,240
906123194,NA,NA
906123195,NA,NA
906123212,NA,NA
906123213,157.704799711296,330
906123227,NA,NA
906123231,NA,NA
906123232,NA,NA
906123233,NA,NA
906123256,NA,NA
906123283,130.010834236186,191
906123284,150.02406159769,244
906123286,157.389635316699,353
906123287,NA,NA
906123288,NA,NA
906123348,NA,NA
906123349,NA,NA
906123350,NA,NA
906123351,NA,NA
906123354,150.02406159769,244
906123417,132.049739269956,203
906123418,148.277383387478,197
906123423,NA,NA
906123425,NA,NA
906123463,NA,NA
906123481,134.440300004011,303
906123482,155.600994306792,344
906123483,NA,NA
906123485,139.924625130302,268
906123486,136.332733453309,208
906123487,160.657051282051,342
906123495,143.217893217893,299
906123496,143.217893217893,299
906123497,163.09924643258,350
906123498,152.50911129801,234
906123578,NA,NA
906123579,NA,NA
906123580,NA,NA
906123581,NA,NA
906123582,NA,NA
906123583,139.377157075207,208
906123592,132.829071116981,255
906123620,150.206503869441,293
906123621,160.657051282051,342
906123622,152.50911129801,234
906123623,152.50911129801,234
906123648,NA,NA
906123663,139.377157075207,208
906123664,122.663457681508,173
906123665,NA,NA
906123718,NA,NA
906123719,123.199743250291,198
906123720,NA,NA
906123731,NA,NA
906123732,NA,NA
906123734,NA,NA
906123742,123.199743250291,198
906123743,NA,NA
906123748,138.414683016751,211
906123749,138.414683016751,211
906123821,NA,NA
906123822,132.137554672766,202
906123823,NA,NA
906123824,130.410342889264,257
906123847,NA,NA
906123848,NA,NA
906123849,NA,NA
906123850,NA,NA
906123861,NA,NA
906123862,NA,NA
906123863,NA,NA
906123864,NA,NA
906123865,NA,NA
906123866,NA,NA
906123867,NA,NA
906123868,NA,NA
906123881,NA,NA
906123882,NA,NA
906123883,NA,NA
906123884,143.749249429566,282
906123885,143.636655432515,280
906123890,147.934447249269,211
906123892,NA,NA
906123893,NA,NA
906123896,143.217893217893,299
906123897,109.053002966883,165
906123903,152.50911129801,234
906123904,NA,NA
906123905,NA,NA
906123906,NA,NA
906123907,NA,NA
906123925,NA,NA
906123959,NA,NA
906123960,NA,NA
906123961,NA,NA
906123982,NA,NA
906123983,NA,NA
906124002,NA,NA
906124003,NA,NA
906124004,NA,NA
906124005,NA,NA
906124021,NA,NA
906124022,NA,NA
906124023,NA,NA
906124024,NA,NA
906124025,NA,NA
906124026,NA,NA
906124027,136.001281897208,321
906124030,114.345281052041,266
906124031,132.049739269956,203
906124045,NA,NA
906124065,NA,NA
906124066,NA,NA
906124076,127.085338466474,183
906124081,NA,NA
906124082,130.410342889264,257
906124083,130.410342889264,257
906124088,141.849089888541,220
906124089,141.849089888541,220
906124098,NA,NA
906124099,NA,NA
906124100,NA,NA
906124130,139.052661131833,277
906124134,NA,NA
906124135,NA,NA
906124136,120.963855421687,270
906124144,NA,NA
906124145,NA,NA
906124184,NA,NA
906124185,NA,NA
906124188,119.491559404948,158
906124189,152.50911129801,234
906124190,134.401477733606,202
906124191,152.50911129801,234
906124194,NA,NA
906124195,NA,NA
906124196,NA,NA
906124201,120.963855421687,270
906124202,132.829071116981,255
906124203,139.052661131833,277
906124204,NA,NA
906124205,NA,NA
906124206,NA,NA
906124207,NA,NA
906124208,NA,NA
906124209,NA,NA
906124216,125.671881267549,250
906124217,127.467501203659,206
906124218,144.025989652268,237
906124219,144.025989652268,237
906124220,134.866177119698,301
906124227,132.651423987164,202
906124232,144.7357870259,282
906124233,144.7357870259,282
906124234,144.7357870259,282
906124261,NA,NA
906124262,NA,NA
906124263,NA,NA
906124267,143.636655432515,280
906124268,143.636655432515,280
906124269,143.636655432515,280
906124277,146.904217326753,255
906124278,NA,NA
906124279,NA,NA
906124289,NA,NA
906124299,137.634926367321,240
906124304,138.244602010976,313
906124305,134.866177119698,301
906124306,127.467501203659,206
906124307,134.866177119698,301
906124315,NA,NA
906124316,125.671881267549,250
906124317,125.671881267549,250
906124318,125.671881267549,250
906124333,NA,NA
906124334,NA,NA
906124335,NA,NA
906124336,150.206503869441,293
906124346,163.09924643258,350
906124347,136.332733453309,208
906124348,136.332733453309,208
906124349,119.491559404948,158
906124350,119.491559404948,158
906124367,157.389635316699,353
906124368,NA,NA
906124378,NA,NA
906124379,NA,NA
906124380,NA,NA
906124381,157.389635316699,353
906124387,NA,NA
906124388,NA,NA
906124389,NA,NA
906124390,NA,NA
906124396,NA,NA
906124398,NA,NA
906124399,NA,NA
906124400,NA,NA
906124401,NA,NA
906124408,NA,NA
906124409,NA,NA
906124410,NA,NA
906124414,NA,NA
906124415,NA,NA
906124421,NA,NA
906124422,NA,NA
906124424,130.523780854907,231
906124427,141.246338429437,311
906124428,141.246338429437,311
906124429,126.384207992297,180
906124442,NA,NA
906124443,NA,NA
906124444,NA,NA
906124445,NA,NA
906124446,NA,NA
906124449,NA,NA
906124450,NA,NA
906124469,NA,NA
906124470,NA,NA
906124505,NA,NA
906124507,NA,NA
906124508,NA,NA
906124514,151.577173127859,302
906124515,151.577173127859,302
906124529,126.947882866643,182
906124530,121.661244326626,192
906124571,144.025989652268,237
906124572,144.025989652268,237
906124573,144.025989652268,237
906124602,137.490970382856,212
906124649,NA,NA
906124650,NA,NA
906124651,148.277383387478,197
906124652,148.277383387478,197
906124654,126.384207992297,180
906124657,120.963855421687,270
906124674,NA,NA
906124675,130.410342889264,257
906124676,130.410342889264,257
906124680,141.849089888541,220
906124763,138.244602010976,313
906124766,NA,NA
906124772,138.414683016751,211
906124773,138.414683016751,211
906124774,NA,NA
906124775,NA,NA
906124782,NA,NA
906124803,NA,NA
906124804,NA,NA
906124824,NA,NA
906124836,NA,NA
906124837,NA,NA
906124840,134.866177119698,301
906124847,157.704799711296,330
906124848,NA,NA
906124849,138.244602010976,313
906124850,138.244602010976,313
906124886,159.020670278948,342
906124887,141.69877970456,236
906124914,135.694277711084,219
906124921,159.020670278948,342
906124925,NA,NA
906124926,138.414683016751,211
906124927,NA,NA
906124928,141.69877970456,236
906124929,113.810382842253,183
906124989,141.69877970456,236
906124990,141.69877970456,236
906124993,138.414683016751,211
906124994,138.414683016751,211
906125010,NA,NA
906125029,157.742750571532,342
906125038,159.020670278948,342
906125039,131.184347686633,200
906125068,139.052661131833,277
906125084,152.50911129801,234
906125085,134.401477733606,202
906125086,152.50911129801,234
906125087,152.50911129801,234
906125140,126.947882866643,182
906125141,126.947882866643,182
906125142,160.415163901579,352
906125143,NA,NA
906125144,141.946349091784,287
906125145,141.946349091784,287
906125175,144.081371135672,191
906125183,126.947882866643,182
906125184,110.469777136444,170
906125189,NA,NA
906125196,121.661244326626,192
906125235,NA,NA
906125239,NA,NA
906125240,NA,NA
906125241,144.081371135672,191
906125264,NA,NA
906125265,NA,NA
906125266,NA,NA
906125267,NA,NA
906125268,NA,NA
906125271,NA,NA
906125272,144.081371135672,191
906125321,NA,NA
906125322,NA,NA
906125344,134.866177119698,301
906125345,151.322115384615,287
906125346,151.322115384615,287
906125347,NA,NA
906125348,157.704799711296,330
906125349,157.704799711296,330
906125350,NA,NA
906125351,NA,NA
906125352,138.244602010976,313
906125356,NA,NA
906125364,122.663457681508,173
906125365,107.661452065784,229
906125380,NA,NA
906125381,NA,NA
906125382,157.389635316699,353
906125414,NA,NA
906125415,NA,NA
906125416,127.217272654306,209
906125420,NA,NA
906125421,NA,NA
906125440,NA,NA
906125441,146.904217326753,255
906125462,138.414683016751,211
906125465,NA,NA
906125480,107.661452065784,229
906125481,NA,NA
906125491,NA,NA
906125492,NA,NA
906125493,127.085338466474,183
906125494,129.54053403897,181
906125499,NA,NA
906125533,NA,NA
906125549,NA,NA
