"record_id","landcover_class"
906118073,"18"
906118074,"18"
906118075,"6"
906118076,"6"
906118128,"5"
906118129,"5"
906118130,"5"
906118131,"5"
906118132,"1"
906118133,"1"
906118134,"5"
906118135,"5"
906118136,"5"
906118137,"5"
906118138,"6"
906118152,"1"
906118153,"1"
906118182,"6"
906118186,"1"
906118189,"5"
906118190,"6"
906118235,"6"
906118236,"6"
906118237,"6"
906118285,"1"
906118286,"1"
906118318,"6"
906118319,"6"
906118320,"5"
906118348,"5"
906118349,"6"
906118350,"6"
906118351,"5"
906118367,"5"
906118371,"6"
906118404,"1"
906118405,"5"
906118444,"6"
906118452,"5"
906118464,"6"
906118465,"6"
906118472,"1"
906118473,"1"
906118497,"1"
906118498,"1"
906118499,"1"
906118500,"5"
906118501,"6"
906118502,"6"
906118503,"6"
906118504,"5"
906118505,"6"
906118514,"6"
906118515,"5"
906118516,"6"
906118535,"1"
906118536,"1"
906118548,"5"
906118549,"1"
906118552,"5"
906118553,"1"
906118554,"6"
906118555,"8"
906118556,"6"
906118557,"6"
906118567,"5"
906118568,"5"
906118655,"5"
906118663,"5"
906118666,"6"
906118671,"5"
906118672,"6"
906118688,"5"
906118724,"6"
906118803,"6"
906118814,"6"
906118815,"5"
906118816,"5"
906118817,"6"
906118818,"6"
906118819,"1"
906118820,"5"
906118821,"5"
906118822,"6"
906118857,"6"
906118859,"5"
906118860,"5"
906118861,"5"
906118862,"6"
906118863,"6"
906118890,"6"
906118930,"6"
906118931,"6"
906118932,"1"
906118933,"8"
906119047,"1"
906119100,"1"
906119108,"6"
906119190,"6"
906119252,"6"
906119253,"6"
906119267,"5"
906119389,"1"
906119390,"1"
906119402,"5"
906119428,"6"
906119467,"6"
906119468,"6"
906119475,"1"
906119476,"8"
906119515,"1"
906119539,"5"
906119553,"8"
906119582,"1"
906119583,"5"
906119584,"6"
906119600,"6"
906119629,"5"
906119680,"5"
906119681,"5"
906119682,"5"
906119683,"5"
906119690,"1"
906119691,"1"
906119727,"17"
906119728,"17"
906119740,"6"
906119781,"5"
906119782,"1"
906119783,"18"
906119790,"6"
906119798,"6"
906119799,"6"
906119806,"6"
906119807,"1"
906119815,"1"
906119816,"1"
906119823,"8"
906119824,"8"
906119830,"6"
906119839,"8"
906119840,"6"
906119841,"1"
906119848,"1"
906119892,"1"
906119911,"6"
906119922,"1"
906119966,"8"
906119967,"6"
906119968,"1"
906119977,"1"
906119991,"1"
906119992,"1"
906119993,"1"
906119994,"1"
906120073,"6"
906120074,"6"
906120075,"6"
906120076,"1"
906120127,"6"
906120128,"6"
906120129,"5"
906120130,"8"
906120131,"8"
906120133,"1"
906120134,"5"
906120135,"6"
906120139,"1"
906120140,"5"
906120141,"5"
906120158,"6"
906120159,"1"
906120160,"6"
906120166,"6"
906120182,"5"
906120208,"8"
906120252,"6"
906120279,"5"
906120280,"1"
906120300,"6"
906120308,"8"
906120312,"6"
906120338,"6"
906120340,"6"
906120345,"1"
906120346,"1"
906120383,"6"
906120392,"6"
906120444,"8"
906120459,"8"
906120460,"8"
906120470,"6"
906120520,"6"
906120521,"8"
906120553,"6"
906120554,"1"
906120576,"6"
906120577,"6"
906120578,"6"
906120579,"6"
906120594,"8"
906120595,"5"
906120634,"6"
906120635,"1"
906120636,"5"
906120637,"5"
906120638,"5"
906120639,"6"
906120640,"6"
906120690,"17"
906120691,"17"
906120692,"17"
906120693,"17"
906120694,"8"
906120738,"6"
906120739,"6"
906120754,"8"
906120778,"1"
906120779,"1"
906120780,"1"
906120781,"6"
906120793,"8"
906120794,"5"
906120799,"6"
906120800,"17"
906120801,"5"
906120816,"6"
906120817,"1"
906120818,"5"
906120820,"5"
906120826,"5"
906120869,"6"
906120870,"1"
906120871,"5"
906120872,"6"
906120873,"6"
906120883,"6"
906120884,"6"
906120885,"6"
906120886,"6"
906120893,"6"
906120894,"6"
906120900,"6"
906120901,"6"
906120919,"5"
906120920,"6"
906120922,"6"
906120923,"6"
906120924,"6"
906120925,"1"
906120926,"1"
906120930,"18"
906120931,"6"
906120932,"6"
906120933,"6"
906120935,"6"
906120936,"6"
906120957,"1"
906120958,"1"
906120959,"1"
906120962,"1"
906120970,"1"
906120971,"5"
906120982,"5"
906121055,"6"
906121062,"6"
906121063,"5"
906121098,"6"
906121099,"1"
906121135,"1"
906121144,"6"
906121149,"17"
906121150,"17"
906121170,"1"
906121171,"1"
906121175,"1"
906121176,"1"
906121180,"5"
906121181,"6"
906121191,"5"
906121192,"5"
906121193,"5"
906121209,"1"
906121210,"8"
906121218,"1"
906121224,"5"
906121225,"5"
906121226,"6"
906121227,"5"
906121239,"6"
906121251,"6"
906121252,"6"
906121253,"6"
906121274,"1"
906121275,"1"
906121311,"5"
906121314,"5"
906121315,"8"
906121353,"8"
906121354,"8"
906121368,"5"
906121369,"1"
906121370,"6"
906121371,"6"
906121372,"17"
906121373,"17"
906121380,"1"
906121381,"5"
906121382,"1"
906121383,"1"
906121414,"6"
906121415,"5"
906121416,"5"
906121417,"5"
906121418,"1"
906121480,"1"
906121481,"1"
906121482,"6"
906121504,"6"
906121525,"5"
906121526,"5"
906121527,"6"
906121528,"6"
906121529,"6"
906121534,"6"
906121535,"6"
906121536,"6"
906121543,"6"
906121544,"1"
906121545,"6"
906121573,"17"
906121589,"6"
906121590,"6"
906121608,"6"
906121609,"6"
906121610,"5"
906121617,"5"
906121618,"5"
906121619,"1"
906121620,"6"
906121621,"6"
906121624,"6"
906121625,"6"
906121651,"6"
906121661,"6"
906121662,"6"
906121667,"6"
906121676,"17"
906121677,"6"
906121678,"6"
906121681,"1"
906121682,"1"
906121683,"1"
906121684,"6"
906121685,"1"
906121686,"1"
906121693,"1"
906121708,"8"
906121709,"8"
906121721,"1"
906121722,"1"
906121723,"6"
906121726,"6"
906121729,"6"
906121730,"6"
906121731,"6"
906121732,"6"
906121733,"6"
906121737,"6"
906121738,"6"
906121739,"6"
906121740,"6"
906121745,"1"
906121746,"1"
906121758,"8"
906121759,"8"
906121760,"1"
906121761,"1"
906121762,"6"
906121777,"5"
906121778,"6"
906121779,"6"
906121780,"6"
906121782,"6"
906121783,"6"
906121784,"6"
906121785,"17"
906121788,"6"
906121789,"6"
906121790,"6"
906121799,"8"
906121804,"5"
906121805,"6"
